agent_name	grounding	other_mapping	cui
VaD	"(None, None)"	{'TEXT': 'VaD'}	C0077973
nobelium	"('CHEBI', 'CHEBI:33396')"	"{'PUBCHEM': '24822', 'TEXT': 'NO', 'MESH': 'D009614', 'CAS': '10028-14-5', 'CHEBI': 'CHEBI:33396'}"	C0028237
Cell Survival	"('MESH', 'D002470')"	"{'MESH': 'D002470', 'TEXT': 'cell viability'}"	C0007620
PSEN1	"('HGNC', '9508')"	"{'UP': 'P49768', 'TEXT': 'PS1', 'MESH': 'D053764', 'HGNC': '9508'}"	C1418985
BACE1	"('HGNC', '933')"	"{'UP': 'P56817', 'TEXT': 'BACE1', 'HGNC': '933'}"	C1412727
testosterone	"('CHEBI', 'CHEBI:17347')"	"{'CHEBI': 'CHEBI:17347', 'TEXT': 'testosterone', 'CHEMBL': 'CHEMBL386630', 'PUBCHEM': '6013', 'MESH': 'D013739', 'DRUGBANK': 'DB00624', 'CAS': '58-22-0'}"	C0039601
PLXNA3	"('HGNC', '9101')"	"{'UP': 'P51805', 'TEXT': 'Sex', 'HGNC': '9101'}"	C1418662
steroid	"('CHEBI', 'CHEBI:35341')"	"{'CHEBI': 'CHEBI:35341', 'TEXT': 'steroid', 'MESH': 'D013256'}"	C0038317
PLXNA3	"('HGNC', '9101')"	"{'UP': 'P51805', 'TEXT': 'sex', 'HGNC': '9101'}"	C1418662
silent mating type information regulation 2 homolog 1	"(None, None)"	{'TEXT': 'silent mating type information regulation 2 homolog 1'}	C2720167
DISC1	"('HGNC', '2888')"	"{'UP': 'Q9NRI5', 'TEXT': 'DISC1', 'HGNC': '2888'}"	C1414054
cell growth	"('GO', 'GO:0016049')"	"{'GO': 'GO:0016049', 'TEXT': 'cell growth', 'MESH': 'D048708'}"	C0007595
cypermethrin	"('CHEBI', 'CHEBI:4042')"	"{'PUBCHEM': '2912', 'TEXT': 'Cypermethrin', 'DRUGBANK': 'DB13721', 'CAS': '52315-07-8', 'CHEMBL': 'CHEMBL373204', 'CHEBI': 'CHEBI:4042'}"	C0056849
autophagy	"('GO', 'GO:0006914')"	"{'GO': 'GO:0006914', 'TEXT': 'Autophagy', 'MESH': 'D001343'}"	C0004391
SIRT1	"('HGNC', '14929')"	"{'UP': 'Q96EB6', 'TEXT': 'Sirt 1', 'HGNC': '14929', 'MESH': 'D056564'}"	C2720167
AMPK	"('FPLX', 'AMPK')"	"{'FPLX': 'AMPK', 'TEXT': 'p-AMPK', 'ECCODE': '2.7.11.31', 'NCIT': 'C94701'}"	C3890397
LAMP2	"('HGNC', '6501')"	"{'UP': 'P13473', 'TEXT': 'LAMP 2', 'HGNC': '6501', 'MESH': 'D052119'}"	C1416790
PRH2	"('HGNC', '9367')"	"{'UP': 'P02810', 'TEXT': 'PA', 'MESH': 'D011486', 'HGNC': '9367'}"	C1418893
CC	"(None, None)"	"{'PF': 'PF04942', 'TEXT': 'CC'}"	C0008318
SLC30A3	"('HGNC', '11014')"	"{'UP': 'Q99726', 'TEXT': 'SLC30A3', 'HGNC': '11014'}"	C1420180
DNAJC5	"('HGNC', '16235')"	"{'UP': 'Q9H3Z4', 'TEXT': 'DNAJC5', 'HGNC': '16235'}"	C1424111
Neuronal Ceroid-Lipofuscinoses	"('MESH', 'D009472')"	"{'MESH': 'D009472', 'TEXT': 'neuronal ceroid lipofuscinosis', 'DOID': 'DOID:14503'}"	C0027877
FeSO 4	"(None, None)"	{'TEXT': 'FeSO 4'}	C2343853
reactive oxygen species	"('CHEBI', 'CHEBI:26523')"	"{'CHEBI': 'CHEBI:26523', 'TEXT': 'ROS', 'MESH': 'D017382'}"	C0162772
Neurodegenerative Diseases	"('MESH', 'D019636')"	"{'MESH': 'D019636', 'TEXT': 'neurodegenerative disease'}"	C0524851
DNAJC5	"('HGNC', '16235')"	"{'UP': 'Q9H3Z4', 'TEXT': 'CSP', 'HGNC': '16235'}"	C1424111
APOE4 allele	"(None, None)"	{'TEXT': 'APOE4 allele'}	C3642141
benzo[a]pyrene	"('CHEBI', 'CHEBI:29865')"	"{'PUBCHEM': '2336', 'TEXT': 'BP', 'CAS': '50-32-8', 'CHEBI': 'CHEBI:29865', 'CHEMBL': 'CHEMBL31184', 'HMDB': 'HMDB0062469', 'MESH': 'D001564'}"	C0005052
CEBPZ	"('HGNC', '24218')"	"{'UP': 'Q03701', 'TEXT': 'CBF', 'MESH': 'D023081', 'HGNC': '24218'}"	C1428360
C9orf72	"('HGNC', '28337')"	"{'UP': 'Q96LT7', 'TEXT': 'C9ORF72', 'HGNC': '28337'}"	C1428691
GALR2	"('HGNC', '4133')"	"{'UP': 'O43603', 'TEXT': 'GalR2', 'MESH': 'D044092', 'HGNC': '4133'}"	C1333658
drug	"('CHEBI', 'CHEBI:23888')"	"{'CHEBI': 'CHEBI:23888', 'TEXT': 'drug'}"	C0013227
Neurodegenerative Diseases	"('MESH', 'D019636')"	"{'MESH': 'D019636', 'TEXT': 'neurodegenerative diseases'}"	C0524851
Interferon	"('FPLX', 'Interferon')"	"{'FPLX': 'Interferon', 'TEXT': 'IFN', 'NCIT': 'C20493', 'MESH': 'D007372', 'PF': 'PF00143'}"	C3652465
Insulin Resistance	"('MESH', 'D007333')"	"{'MESH': 'D007333', 'TEXT': 'insulin resistance'}"	C0021655
Leu-Leu-Asp	"('CHEBI', 'CHEBI:73567')"	"{'PUBCHEM': '49864613', 'TEXT': 'LLD', 'CHEBI': 'CHEBI:73567', 'CHEMBL': 'CHEMBL1222156'}"	C0206298
Disease	"('MESH', 'D004194')"	"{'MESH': 'D004194', 'TEXT': 'disease'}"	C0012634
response to stress	"('GO', 'GO:0006950')"	"{'GO': 'GO:0006950', 'TEXT': 'stress response'}"	C0149784
Infections	"('MESH', 'D007239')"	"{'MESH': 'D007239', 'TEXT': 'infection', 'EFO': '0000544'}"	C3714514
pseudo-TORCH	"(None, None)"	{'TEXT': 'pseudo-TORCH'}	C0270173
DNA repair	"('GO', 'GO:0006281')"	"{'GO': 'GO:0006281', 'TEXT': 'DNA repair', 'MESH': 'D004260'}"	C0012899
HSPA	"('FPLX', 'HSPA')"	"{'FPLX': 'HSPA', 'TEXT': 'Hsp70', 'PF': 'PF00012', 'MESH': 'D018840'}"	C0243043
GSR	"('HGNC', '4623')"	"{'UP': 'P00390', 'TEXT': 'GR', 'HGNC': '4623', 'MESH': 'D005980'}"	C0016989
PTS	"('HGNC', '9689')"	"{'UP': 'Q03393', 'TEXT': 'PTS', 'HGNC': '9689'}"	C1419129
autophagy	"('GO', 'GO:0006914')"	"{'GO': 'GO:0006914', 'TEXT': 'autophagy', 'MESH': 'D001343'}"	C0004391
MAPT	"('HGNC', '6893')"	"{'UP': 'P10636', 'TEXT': 'TAU', 'HGNC': '6893'}"	C1446659
MTOR	"('HGNC', '3942')"	"{'UP': 'P42345', 'TEXT': 'mTOR', 'MESH': 'D058570', 'HGNC': '3942'}"	C1307407
prion protein	"(None, None)"	"{'IP': 'IPR000817', 'TEXT': 'prion protein'}"	C4082486
homeostatic process	"('GO', 'GO:0042592')"	"{'GO': 'GO:0042592', 'TEXT': 'homeostasis'}"	C0019868
peptide	"('CHEBI', 'CHEBI:16670')"	"{'CHEBI': 'CHEBI:16670', 'TEXT': 'peptide', 'MESH': 'D010455'}"	C0030956
STMN2	"('HGNC', '10577')"	"{'UP': 'Q93045', 'TEXT': 'SCG10', 'HGNC': '10577'}"	C1419850
chromosome segregation	"('GO', 'GO:0007059')"	"{'GO': 'GO:0007059', 'TEXT': 'chromosome segregation', 'MESH': 'D020090'}"	C0598175
vascular risk factors	"(None, None)"	{'TEXT': 'vascular risk factors'}	C0035648
CYP	"('UP', 'P34887')"	"{'UP': 'P34887', 'TEXT': 'CYP'}"	C0010762
arachidonic acid	"('CHEBI', 'CHEBI:15843')"	"{'CHEBI': 'CHEBI:15843', 'TEXT': 'arachidonic acid', 'DRUGBANK': 'DB04557', 'CHEMBL': 'CHEMBL15594', 'CAS': '506-32-1', 'HMDB': 'HMDB0001043', 'PUBCHEM': '444899'}"	C0003695
APOE	"('HGNC', '613')"	"{'UP': 'P02649', 'TEXT': 'apolipoprotein E', 'HGNC': '613', 'MESH': 'D001057'}"	C0003595
RELN	"('HGNC', '9957')"	"{'UP': 'P78509', 'TEXT': 'Reelin', 'HGNC': '9957'}"	C1419337
SRSF3	"('HGNC', '10785')"	"{'UP': 'P84103', 'TEXT': 'SRSF3', 'HGNC': '10785'}"	C1454337
VLDLR	"('HGNC', '12698')"	"{'UP': 'P98155', 'TEXT': 'very low density lipoprotein receptor', 'HGNC': '12698'}"	C1421455
cytochrome P450	"(None, None)"	"{'PF': 'PF00067', 'TEXT': 'cytochrome P450'}"	C0010762
RNA splicing	"('GO', 'GO:0008380')"	"{'GO': 'GO:0008380', 'TEXT': 'RNA splicing', 'MESH': 'D012326'}"	C0035687
hydrogen peroxide	"('CHEBI', 'CHEBI:16240')"	"{'PUBCHEM': '784', 'TEXT': 'hydrogen peroxide', 'DRUGBANK': 'DB11091', 'CAS': '7722-84-1', 'CHEMBL': 'CHEMBL71595', 'HMDB': 'HMDB0003125', 'CHEBI': 'CHEBI:16240'}"	C0020281
ORM2	"('HGNC', '8499')"	"{'UP': 'P19652', 'TEXT': 'ORM2', 'HGNC': '8499'}"	C1418187
taurine	"('CHEBI', 'CHEBI:15891')"	"{'CHEBI': 'CHEBI:15891', 'TEXT': 'taurine', 'CHEMBL': 'CHEMBL239243', 'MESH': 'D013654', 'DRUGBANK': 'DB01956', 'CAS': '107-35-7', 'PUBCHEM': '1123', 'HMDB': 'HMDB0000251'}"	C0039350
CCL4	"('HGNC', '10630')"	"{'UP': 'P13236', 'TEXT': 'CCL4', 'HGNC': '10630'}"	C1429582
RAR	"('FPLX', 'RAR')"	"{'FPLX': 'RAR', 'TEXT': 'RAR', 'MESH': 'D018168', 'NCIT': 'C17532'}"	C3538821
BDNF	"('HGNC', '1033')"	"{'UP': 'P23560', 'TEXT': 'brain-derived neurotrophic factor', 'HGNC': '1033', 'MESH': 'D019208'}"	C3486709
Chemokine	"('FPLX', 'Chemokine')"	"{'FPLX': 'Chemokine', 'TEXT': 'chemokine', 'NCIT': 'C20466', 'MESH': 'D018925'}"	C0282554
Chronic Disease	"('MESH', 'D002908')"	"{'MESH': 'D002908', 'TEXT': 'Chronic diseases', 'EFO': '0009714'}"	C0008679
Chronic Pain	"('MESH', 'D059350')"	"{'MESH': 'D059350', 'TEXT': 'chronic pain', 'HP': 'HP:0012532'}"	C0150055
glucocorticoid receptors	"(None, None)"	{'TEXT': 'glucocorticoid receptors'}	C0034809
gM	"('UP', 'O36388')"	"{'UP': 'O36388', 'TEXT': 'GM'}"	C3854019
RXR	"('FPLX', 'RXR')"	"{'FPLX': 'RXR', 'TEXT': 'RXR', 'MESH': 'D047488', 'NCIT': 'C17534', 'GO': 'GO:0004886'}"	C0140283
NR3C2	"('HGNC', '7979')"	"{'UP': 'P08235', 'TEXT': 'MCR', 'HGNC': '7979', 'MESH': 'D018161'}"	C3254418
Neurotrophin	"(None, None)"	{'TEXT': 'Neurotrophin'}	C1332408
MAPT	"('HGNC', '6893')"	"{'UP': 'P10636', 'TEXT': 'Tau', 'HGNC': '6893'}"	C1446659
SORL1	"('HGNC', '11185')"	"{'UP': 'Q92673', 'TEXT': 'SORL1', 'HGNC': '11185'}"	C1420312
ELL	"('HGNC', '23114')"	"{'UP': 'P55199', 'TEXT': 'men', 'HGNC': '23114'}"	C1427925
PSEN1	"('HGNC', '9508')"	"{'UP': 'P49768', 'TEXT': 'psen1', 'MESH': 'D053764', 'HGNC': '9508'}"	C1418985
Gamma_secretase	"('FPLX', 'Gamma_secretase')"	"{'FPLX': 'Gamma_secretase', 'TEXT': 'γ-secretase', 'NCIT': 'C95114', 'GO': 'GO:0070765'}"	C0379528
positron	"('CHEBI', 'CHEBI:30225')"	"{'CHEBI': 'CHEBI:30225', 'TEXT': 'Positron'}"	C0032744
miRNA-101a-3p	"(None, None)"	{'TEXT': 'miRNA-101a-3p'}	C1101610
gene expression	"('GO', 'GO:0010467')"	"{'GO': 'GO:0010467', 'TEXT': 'gene expression', 'MESH': 'D015870'}"	C0017262
BDNF	"('HGNC', '1033')"	"{'UP': 'P23560', 'TEXT': 'BDNF', 'HGNC': '1033', 'MESH': 'D019208'}"	C3486709
osthole	"('CHEBI', 'CHEBI:69832')"	"{'CHEBI': 'CHEBI:69832', 'TEXT': 'osthole', 'CHEMBL': 'CHEMBL52229', 'CAS': '484-12-8', 'PUBCHEM': '10228'}"	C0069679
gx-50	"(None, None)"	{'TEXT': 'gx-50'}	C3842586
calcium atom	"('CHEBI', 'CHEBI:22984')"	"{'PUBCHEM': '5460341', 'TEXT': 'calcium', 'CHEBI': 'CHEBI:22984', 'DRUGBANK': 'DB01373', 'MESH': 'D002118'}"	C0006675
MS4A6A	"('HGNC', '13375')"	"{'UP': 'Q9H2W1', 'TEXT': 'MS4A6A', 'HGNC': '13375'}"	C1421960
MT-CO2	"('HGNC', '7421')"	"{'UP': 'P00403', 'TEXT': 'COX-2', 'HGNC': '7421'}"	C1537986
FERMT2	"('HGNC', '15767')"	"{'UP': 'Q96AC1', 'TEXT': 'FERMT2', 'HGNC': '15767'}"	C1423716
amyloid precursor protein metabolic process	"('GO', 'GO:0042982')"	"{'GO': 'GO:0042982', 'TEXT': 'APP metabolism'}"	C1327340
iron atom	"('CHEBI', 'CHEBI:18248')"	"{'PUBCHEM': '23925', 'TEXT': 'iron', 'MESH': 'D007501', 'DRUGBANK': 'DB01592', 'CHEBI': 'CHEBI:18248'}"	C0376520
SLC8A1	"('HGNC', '11068')"	"{'UP': 'P32418', 'TEXT': 'CNC', 'HGNC': '11068'}"	C1420229
Dihydromyricetin	"(None, None)"	{'TEXT': 'Dihydromyricetin'}	C1174885
tea	"(None, None)"	"{'PF': 'PF01285', 'TEXT': 'tea'}"	C0039400
SGCG	"('HGNC', '10809')"	"{'UP': 'Q13326', 'TEXT': 'type', 'HGNC': '10809'}"	C1420009
CLU	"('HGNC', '2095')"	"{'UP': 'P10909', 'TEXT': 'CLU', 'MESH': 'D051152', 'HGNC': '2095'}"	C1413514
NLRP3	"('HGNC', '16400')"	"{'UP': 'Q96P20', 'TEXT': 'NLRP3', 'HGNC': '16400', 'MESH': 'D000071199'}"	C1424250
PLG	"('HGNC', '9071')"	"{'UP': 'P00747', 'TEXT': 'plasminogen', 'HGNC': '9071', 'MESH': 'D010958'}"	C1262735
PLXNA4	"('HGNC', '9102')"	"{'UP': 'Q9HCM2', 'TEXT': 'PLXNA4', 'HGNC': '9102'}"	C1826602
SERPINE1	"('HGNC', '8583')"	"{'UP': 'P05121', 'TEXT': 'PAI-1', 'MESH': 'D017395', 'HGNC': '8583'}"	C1620101
TREM2	"('HGNC', '17761')"	"{'UP': 'Q9NZC2', 'TEXT': 'TREM2', 'HGNC': '17761'}"	C1143976
SLC4A11	"('HGNC', '16438')"	"{'UP': 'Q8NBS3', 'TEXT': 'SLC4A11', 'HGNC': '16438'}"	C1424279
VPS35	"('HGNC', '13487')"	"{'UP': 'Q96QK1', 'TEXT': 'Vps35', 'HGNC': '13487'}"	C1422017
GRN	"('HGNC', '4601')"	"{'UP': 'P28799', 'TEXT': 'progranulin', 'HGNC': '4601', 'MESH': 'D000077153'}"	C1415311
CDK5	"('HGNC', '1774')"	"{'UP': 'Q00535', 'TEXT': 'Cdk5', 'HGNC': '1774', 'MESH': 'D051360'}"	C1565306
GSMs	"(None, None)"	{'TEXT': 'GSMs'}	C0069228
STI571	"(None, None)"	{'TEXT': 'STI571'}	C0906802
APOE	"('HGNC', '613')"	"{'UP': 'P02649', 'TEXT': 'ApoE', 'HGNC': '613', 'MESH': 'D001057'}"	C0003595
NR1H3	"('HGNC', '7966')"	"{'UP': 'Q13133', 'TEXT': 'NR1H3', 'HGNC': '7966'}"	C1417824
LRRK2	"('HGNC', '18618')"	"{'UP': 'Q5S007', 'TEXT': 'LRRK2', 'HGNC': '18618'}"	C1425650
MME	"('HGNC', '7154')"	"{'UP': 'P08473', 'TEXT': 'neprilysin', 'MESH': 'D015260', 'HGNC': '7154'}"	C3887624
cell death	"('GO', 'GO:0008219')"	"{'GO': 'GO:0008219', 'TEXT': 'cell death', 'MESH': 'D016923'}"	C0007587
Hypertension	"('MESH', 'D006973')"	"{'MESH': 'D006973', 'TEXT': 'hypertension'}"	C0020538
LXR	"('FPLX', 'LXR')"	"{'FPLX': 'LXR', 'TEXT': 'LXR', 'IP': 'IPR023257'}"	C4288814
phosphoramidon	"('CHEBI', 'CHEBI:45353')"	"{'CHEBI': 'CHEBI:45353', 'TEXT': 'phosphoramidon', 'CHEMBL': 'CHEMBL479579', 'CAS': '36357-77-4', 'PUBCHEM': '445114', 'DRUGBANK': 'DB02557'}"	C0070915
Cerebral Hemorrhage	"('MESH', 'D002543')"	"{'MESH': 'D002543', 'TEXT': 'intracerebral hemorrhages', 'EFO': '0005669'}"	C2937358
5-Hydroxytryptophol	"('CHEBI', 'CHEBI:89825')"	"{'PUBCHEM': '9061', 'TEXT': '5-hydroxyindolacetic acid', 'CAS': '154-02-9', 'CHEBI': 'CHEBI:89825'}"	C0815052
apoptotic process	"('GO', 'GO:0006915')"	"{'GO': 'GO:0006915', 'TEXT': 'apoptosis', 'MESH': 'D017209'}"	C0162638
MME	"('HGNC', '7154')"	"{'UP': 'P08473', 'TEXT': 'NEP', 'MESH': 'D015260', 'HGNC': '7154'}"	C3887624
ich	"('UP', 'Q9VHJ6')"	"{'UP': 'Q9VHJ6', 'TEXT': 'ICH'}"	C0019191
PHF1	"('HGNC', '8919')"	"{'UP': 'O43189', 'TEXT': 'PHF1', 'HGNC': '8919'}"	C1418527
HTN3	"('HGNC', '5284')"	"{'UP': 'P15516', 'TEXT': 'Pb', 'HGNC': '5284'}"	C1415801
metabolite	"('CHEBI', 'CHEBI:25212')"	"{'CHEBI': 'CHEBI:25212', 'TEXT': 'metabolite'}"	C0870883
IL6	"('HGNC', '6018')"	"{'UP': 'P05231', 'TEXT': 'IL-6', 'MESH': 'D015850', 'HGNC': '6018'}"	C0021760
flavonoid	"('CHEBI', 'CHEBI:47916')"	"{'CHEBI': 'CHEBI:47916', 'TEXT': 'Flavonoid'}"	C0596577
SPARCL1	"('HGNC', '11220')"	"{'UP': 'Q14515', 'TEXT': 'SPARCL1', 'HGNC': '11220'}"	C1420343
melatonin	"('CHEBI', 'CHEBI:16796')"	"{'CHEBI': 'CHEBI:16796', 'TEXT': 'melatonin', 'CAS': '73-31-4', 'DRUGBANK': 'DB01065', 'MESH': 'D008550', 'HMDB': 'HMDB0001389', 'PUBCHEM': '896', 'CHEMBL': 'CHEMBL45'}"	C0025219
Alzheimer Disease	"('MESH', 'D000544')"	"{'MESH': 'D000544', 'TEXT': ""Alzheimer's Disease""}"	C0002395
baicalein	"('CHEBI', 'CHEBI:2979')"	"{'CHEBI': 'CHEBI:2979', 'TEXT': 'baicalein', 'CAS': '491-67-8', 'HMDB': 'HMDB0031991', 'PUBCHEM': '5281605', 'CHEMBL': 'CHEMBL8260'}"	C0052927
serotonin	"('CHEBI', 'CHEBI:28790')"	"{'CHEBI': 'CHEBI:28790', 'TEXT': 'serotonin', 'DRUGBANK': 'DB08839', 'MESH': 'D012701', 'CAS': '50-67-9', 'PUBCHEM': '5202', 'HMDB': 'HMDB0000259', 'CHEMBL': 'CHEMBL39'}"	C0036751
ouabain	"('CHEBI', 'CHEBI:472805')"	"{'CHEBI': 'CHEBI:472805', 'TEXT': 'Ouabain', 'CHEMBL': 'CHEMBL222863', 'DRUGBANK': 'DB01092', 'CAS': '630-60-4', 'HMDB': 'HMDB0015224', 'MESH': 'D010042', 'PUBCHEM': '439501'}"	C0029904
aging	"('GO', 'GO:0007568')"	"{'GO': 'GO:0007568', 'TEXT': 'Aging'}"	C0001811
glutathione	"('CHEBI', 'CHEBI:16856')"	"{'PUBCHEM': '124886', 'TEXT': 'GSH', 'CHEBI': 'CHEBI:16856', 'DRUGBANK': 'DB00143', 'CAS': '70-18-8', 'MESH': 'D005978', 'CHEMBL': 'CHEMBL1543', 'HMDB': 'HMDB0000125'}"	C0017817
TFEB	"('HGNC', '11753')"	"{'UP': 'P19484', 'TEXT': 'transcription factor EB', 'HGNC': '11753'}"	C1448629
RAB7A	"('HGNC', '9788')"	"{'UP': 'P51149', 'TEXT': 'Rab7', 'HGNC': '9788'}"	C1826758
RANGAP1	"('HGNC', '9854')"	"{'UP': 'P46060', 'TEXT': 'SD', 'HGNC': '9854'}"	C0294869
LDLR	"('HGNC', '6547')"	"{'UP': 'P01130', 'TEXT': 'low-density lipoprotein receptor', 'MESH': 'D011973', 'HGNC': '6547'}"	C3493221
Tle3	"('UP', 'Q08122')"	"{'UP': 'Q08122', 'TEXT': 'GRg3'}"	C1420754
CISH	"('HGNC', '1984')"	"{'UP': 'Q9NSE2', 'TEXT': 'cis', 'HGNC': '1984'}"	C1742862
TBI	"(None, None)"	{'TEXT': 'TBI'}	C0876926
